A,B,C,Livre,edge_AB,edge_AC,edge_BC,check,Clé_trio,Uniques?,Family_A,Color_A,Family_B,Color_B,Family_C,Color_C
Garlic,Pork,Broccoli,I,Garlic|Pork,Broccoli|Garlic,Broccoli|Pork,TRUE,Broccoli|Garlic|Pork,3,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous ; Cruciferous,#f8dc6a,Sulphurous,#f8dc6a
Cauliflower,Chilli,Broccoli,I,Cauliflower|Chilli,Broccoli|Cauliflower,Broccoli|Chilli,TRUE,Broccoli|Cauliflower|Chilli,3,Earthy ; Dark green,#8b4b32,Green & Grassy ; Light green,#a8b172,Sulphurous,#f8dc6a
Cauliflower,Walnut,Broccoli,I,Cauliflower|Walnut,Broccoli|Cauliflower,Broccoli|Walnut,TRUE,Broccoli|Cauliflower|Walnut,3,Earthy ; Dark green,#8b4b32,Woodland,#807641,Sulphurous,#f8dc6a
Cauliflower,Hard Cheese,Broccoli,I,Cauliflower|Hard Cheese,Broccoli|Cauliflower,Broccoli|Hard Cheese,TRUE,Broccoli|Cauliflower|Hard Cheese,3,Earthy ; Dark green,#8b4b32,Cheesy,#f7e596,Sulphurous,#f8dc6a
Cauliflower,Garlic,Broccoli,I,Cauliflower|Garlic,Broccoli|Cauliflower,Broccoli|Garlic,TRUE,Broccoli|Cauliflower|Garlic,3,Earthy ; Dark green,#8b4b32,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous,#f8dc6a
Chilli,Egg,Buckwheat,mixed,Chilli|Egg,Buckwheat|Chilli,Buckwheat|Egg,TRUE,Buckwheat|Chilli|Egg,3,Green & Grassy ; Light green,#a8b172,Spicy ; Spicy woody,#dd5a53,Flower & meadow,#e78538
Chilli,Lemon,Buckwheat,mixed,Chilli|Lemon,Buckwheat|Chilli,Buckwheat|Lemon,TRUE,Buckwheat|Chilli|Lemon,3,Green & Grassy ; Light green,#a8b172,Roasted ; Caramel roasted,#f2748b,Flower & meadow,#e78538
Chilli,Corn,Buckwheat,II,Chilli|Corn,Buckwheat|Chilli,Buckwheat|Corn,TRUE,Buckwheat|Chilli|Corn,3,Green & Grassy ; Light green,#a8b172,Flower & meadow,#e78538,Flower & meadow,#e78538
Chilli,Potato,Buckwheat,mixed,Chilli|Potato,Buckwheat|Chilli,Buckwheat|Potato,TRUE,Buckwheat|Chilli|Potato,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Cruciferous,#f8dc6a,Flower & meadow,#e78538
Chilli,Radish,Buckwheat,II,Chilli|Radish,Buckwheat|Chilli,Buckwheat|Radish,TRUE,Buckwheat|Chilli|Radish,3,Green & Grassy ; Light green,#a8b172,Cruciferous,#ea815b,Flower & meadow,#e78538
Chilli,Sesame,Buckwheat,II,Chilli|Sesame,Buckwheat|Chilli,Buckwheat|Sesame,TRUE,Buckwheat|Chilli|Sesame,3,Green & Grassy ; Light green,#a8b172,Nutty milky,#bdcab1,Flower & meadow,#e78538
Chilli,Ginger,Buckwheat,mixed,Chilli|Ginger,Buckwheat|Chilli,Buckwheat|Ginger,TRUE,Buckwheat|Chilli|Ginger,3,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6,Flower & meadow,#e78538
Chilli,Tomato,Buckwheat,mixed,Chilli|Tomato,Buckwheat|Chilli,Buckwheat|Tomato,TRUE,Buckwheat|Chilli|Tomato,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Chilli,Tofu,Buckwheat,II,Chilli|Tofu,Buckwheat|Chilli,Buckwheat|Tofu,TRUE,Buckwheat|Chilli|Tofu,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Green Tea,Sweet Potato,Buckwheat,II,Green Tea|Sweet Potato,Buckwheat|Green Tea,Buckwheat|Sweet Potato,TRUE,Buckwheat|Green Tea|Sweet Potato,3,Dark green,#2f3f33,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Green Tea,Honey,Buckwheat,II,Green Tea|Honey,Buckwheat|Green Tea,Buckwheat|Honey,TRUE,Buckwheat|Green Tea|Honey,3,Dark green,#2f3f33,Flower & meadow,#e78538,Flower & meadow,#e78538
Green Tea,Sesame,Buckwheat,II,Green Tea|Sesame,Buckwheat|Green Tea,Buckwheat|Sesame,TRUE,Buckwheat|Green Tea|Sesame,3,Dark green,#2f3f33,Nutty milky,#bdcab1,Flower & meadow,#e78538
Green Tea,Tofu,Buckwheat,II,Green Tea|Tofu,Buckwheat|Green Tea,Buckwheat|Tofu,TRUE,Buckwheat|Green Tea|Tofu,3,Dark green,#2f3f33,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Sorrel,White Bean,Buckwheat,II,Sorrel|White Bean,Buckwheat|Sorrel,Buckwheat|White Bean,TRUE,Buckwheat|Sorrel|White Bean,3,Sour fruity,#f7cf4c,Leguminous,#43221c,Flower & meadow,#e78538
Honey,Lemon,Buckwheat,II,Honey|Lemon,Buckwheat|Honey,Buckwheat|Lemon,TRUE,Buckwheat|Honey|Lemon,3,Flower & meadow,#e78538,Roasted ; Caramel roasted,#f2748b,Flower & meadow,#e78538
Honey,Sesame,Buckwheat,II,Honey|Sesame,Buckwheat|Honey,Buckwheat|Sesame,TRUE,Buckwheat|Honey|Sesame,3,Flower & meadow,#e78538,Nutty milky,#bdcab1,Flower & meadow,#e78538
Honey,Mushroom,Buckwheat,II,Honey|Mushroom,Buckwheat|Honey,Buckwheat|Mushroom,TRUE,Buckwheat|Honey|Mushroom,3,Flower & meadow,#e78538,Citrussy ; Sour fruity,#f3d45b,Flower & meadow,#e78538
Honey,Tomato,Buckwheat,II,Honey|Tomato,Buckwheat|Honey,Buckwheat|Tomato,TRUE,Buckwheat|Honey|Tomato,3,Flower & meadow,#e78538,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Potato,Sorrel,Buckwheat,II,Potato|Sorrel,Buckwheat|Potato,Buckwheat|Sorrel,TRUE,Buckwheat|Potato|Sorrel,3,Sulphurous ; Cruciferous,#f8dc6a,Sour fruity,#f7cf4c,Flower & meadow,#e78538
Potato,Samphire,Buckwheat,II,Potato|Samphire,Buckwheat|Potato,Buckwheat|Samphire,TRUE,Buckwheat|Potato|Samphire,3,Sulphurous ; Cruciferous,#f8dc6a,Dark green,#2f3f33,Flower & meadow,#e78538
Potato,Tomato,Buckwheat,mixed,Potato|Tomato,Buckwheat|Potato,Buckwheat|Tomato,TRUE,Buckwheat|Potato|Tomato,3,Sulphurous ; Cruciferous,#f8dc6a,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Potato,Seaweed,Buckwheat,II,Potato|Seaweed,Buckwheat|Potato,Buckwheat|Seaweed,TRUE,Buckwheat|Potato|Seaweed,3,Sulphurous ; Cruciferous,#f8dc6a,Dark green,#2f3f33,Flower & meadow,#e78538
Samphire,Tomato,Buckwheat,II,Samphire|Tomato,Buckwheat|Samphire,Buckwheat|Tomato,TRUE,Buckwheat|Samphire|Tomato,3,Dark green,#2f3f33,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Samphire,Seaweed,Buckwheat,II,Samphire|Seaweed,Buckwheat|Samphire,Buckwheat|Seaweed,TRUE,Buckwheat|Samphire|Seaweed,3,Dark green,#2f3f33,Dark green,#2f3f33,Flower & meadow,#e78538
Radish,Tofu,Buckwheat,II,Radish|Tofu,Buckwheat|Radish,Buckwheat|Tofu,TRUE,Buckwheat|Radish|Tofu,3,Cruciferous,#ea815b,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Radish,Seaweed,Buckwheat,II,Radish|Seaweed,Buckwheat|Radish,Buckwheat|Seaweed,TRUE,Buckwheat|Radish|Seaweed,3,Cruciferous,#ea815b,Dark green,#2f3f33,Flower & meadow,#e78538
Sesame,Sweet Potato,Buckwheat,II,Sesame|Sweet Potato,Buckwheat|Sesame,Buckwheat|Sweet Potato,TRUE,Buckwheat|Sesame|Sweet Potato,3,Nutty milky,#bdcab1,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Sesame,Tofu,Buckwheat,II,Sesame|Tofu,Buckwheat|Sesame,Buckwheat|Tofu,TRUE,Buckwheat|Sesame|Tofu,3,Nutty milky,#bdcab1,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Cheese,Raisin,Buckwheat,II,Cheese|Raisin,Buckwheat|Cheese,Buckwheat|Raisin,TRUE,Buckwheat|Cheese|Raisin,3,Animalic,#69722f,Dried fruit,#b3514b,Flower & meadow,#e78538
Cheese,Corn,Buckwheat,II,Cheese|Corn,Buckwheat|Cheese,Buckwheat|Corn,TRUE,Buckwheat|Cheese|Corn,3,Animalic,#69722f,Flower & meadow,#e78538,Flower & meadow,#e78538
Cheese,Green Tea,Buckwheat,II,Cheese|Green Tea,Buckwheat|Cheese,Buckwheat|Green Tea,TRUE,Buckwheat|Cheese|Green Tea,3,Animalic,#69722f,Dark green,#2f3f33,Flower & meadow,#e78538
Cheese,Sorrel,Buckwheat,II,Cheese|Sorrel,Buckwheat|Cheese,Buckwheat|Sorrel,TRUE,Buckwheat|Cheese|Sorrel,3,Animalic,#69722f,Sour fruity,#f7cf4c,Flower & meadow,#e78538
Cheese,Honey,Buckwheat,II,Cheese|Honey,Buckwheat|Cheese,Buckwheat|Honey,TRUE,Buckwheat|Cheese|Honey,3,Animalic,#69722f,Flower & meadow,#e78538,Flower & meadow,#e78538
Egg,Lemon,Buckwheat,mixed,Egg|Lemon,Buckwheat|Egg,Buckwheat|Lemon,TRUE,Buckwheat|Egg|Lemon,3,Spicy ; Spicy woody,#dd5a53,Roasted ; Caramel roasted,#f2748b,Flower & meadow,#e78538
Egg,Green Tea,Buckwheat,II,Egg|Green Tea,Buckwheat|Egg,Buckwheat|Green Tea,TRUE,Buckwheat|Egg|Green Tea,3,Spicy ; Spicy woody,#dd5a53,Dark green,#2f3f33,Flower & meadow,#e78538
Egg,Sorrel,Buckwheat,II,Egg|Sorrel,Buckwheat|Egg,Buckwheat|Sorrel,TRUE,Buckwheat|Egg|Sorrel,3,Spicy ; Spicy woody,#dd5a53,Sour fruity,#f7cf4c,Flower & meadow,#e78538
Egg,Honey,Buckwheat,II,Egg|Honey,Buckwheat|Egg,Buckwheat|Honey,TRUE,Buckwheat|Egg|Honey,3,Spicy ; Spicy woody,#dd5a53,Flower & meadow,#e78538,Flower & meadow,#e78538
Egg,Potato,Buckwheat,mixed,Egg|Potato,Buckwheat|Egg,Buckwheat|Potato,TRUE,Buckwheat|Egg|Potato,3,Spicy ; Spicy woody,#dd5a53,Sulphurous ; Cruciferous,#f8dc6a,Flower & meadow,#e78538
Egg,Samphire,Buckwheat,II,Egg|Samphire,Buckwheat|Egg,Buckwheat|Samphire,TRUE,Buckwheat|Egg|Samphire,3,Spicy ; Spicy woody,#dd5a53,Dark green,#2f3f33,Flower & meadow,#e78538
Egg,Radish,Buckwheat,II,Egg|Radish,Buckwheat|Egg,Buckwheat|Radish,TRUE,Buckwheat|Egg|Radish,3,Spicy ; Spicy woody,#dd5a53,Cruciferous,#ea815b,Flower & meadow,#e78538
Egg,Sesame,Buckwheat,II,Egg|Sesame,Buckwheat|Egg,Buckwheat|Sesame,TRUE,Buckwheat|Egg|Sesame,3,Spicy ; Spicy woody,#dd5a53,Nutty milky,#bdcab1,Flower & meadow,#e78538
Egg,Mushroom,Buckwheat,mixed,Egg|Mushroom,Buckwheat|Egg,Buckwheat|Mushroom,TRUE,Buckwheat|Egg|Mushroom,3,Spicy ; Spicy woody,#dd5a53,Citrussy ; Sour fruity,#f3d45b,Flower & meadow,#e78538
Egg,Ginger,Buckwheat,mixed,Egg|Ginger,Buckwheat|Egg,Buckwheat|Ginger,TRUE,Buckwheat|Egg|Ginger,3,Spicy ; Spicy woody,#dd5a53,Creamy Fruity ; Creamy fruity,#f1bac6,Flower & meadow,#e78538
Egg,Tomato,Buckwheat,mixed,Egg|Tomato,Buckwheat|Egg,Buckwheat|Tomato,TRUE,Buckwheat|Egg|Tomato,3,Spicy ; Spicy woody,#dd5a53,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Egg,Tofu,Buckwheat,II,Egg|Tofu,Buckwheat|Egg,Buckwheat|Tofu,TRUE,Buckwheat|Egg|Tofu,3,Spicy ; Spicy woody,#dd5a53,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Egg,Seaweed,Buckwheat,II,Egg|Seaweed,Buckwheat|Egg,Buckwheat|Seaweed,TRUE,Buckwheat|Egg|Seaweed,3,Spicy ; Spicy woody,#dd5a53,Dark green,#2f3f33,Flower & meadow,#e78538
Mushroom,White Bean,Buckwheat,II,Mushroom|White Bean,Buckwheat|Mushroom,Buckwheat|White Bean,TRUE,Buckwheat|Mushroom|White Bean,3,Citrussy ; Sour fruity,#f3d45b,Leguminous,#43221c,Flower & meadow,#e78538
Mushroom,Potato,Buckwheat,mixed,Mushroom|Potato,Buckwheat|Mushroom,Buckwheat|Potato,TRUE,Buckwheat|Mushroom|Potato,3,Citrussy ; Sour fruity,#f3d45b,Sulphurous ; Cruciferous,#f8dc6a,Flower & meadow,#e78538
Mushroom,Tomato,Buckwheat,mixed,Mushroom|Tomato,Buckwheat|Mushroom,Buckwheat|Tomato,TRUE,Buckwheat|Mushroom|Tomato,3,Citrussy ; Sour fruity,#f3d45b,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Mushroom,Tofu,Buckwheat,II,Mushroom|Tofu,Buckwheat|Mushroom,Buckwheat|Tofu,TRUE,Buckwheat|Mushroom|Tofu,3,Citrussy ; Sour fruity,#f3d45b,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Mushroom,Seaweed,Buckwheat,II,Mushroom|Seaweed,Buckwheat|Mushroom,Buckwheat|Seaweed,TRUE,Buckwheat|Mushroom|Seaweed,3,Citrussy ; Sour fruity,#f3d45b,Dark green,#2f3f33,Flower & meadow,#e78538
Tofu,Tomato,Buckwheat,II,Tofu|Tomato,Buckwheat|Tofu,Buckwheat|Tomato,TRUE,Buckwheat|Tofu|Tomato,3,Sulphurous ; Allium,#f8dc6a,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Raisin,White Bean,Buckwheat,II,Raisin|White Bean,Buckwheat|Raisin,Buckwheat|White Bean,TRUE,Buckwheat|Raisin|White Bean,3,Dried fruit,#b3514b,Leguminous,#43221c,Flower & meadow,#e78538
Corn,Lemon,Buckwheat,II,Corn|Lemon,Buckwheat|Corn,Buckwheat|Lemon,TRUE,Buckwheat|Corn|Lemon,3,Flower & meadow,#e78538,Roasted ; Caramel roasted,#f2748b,Flower & meadow,#e78538
Corn,Honey,Buckwheat,II,Corn|Honey,Buckwheat|Corn,Buckwheat|Honey,TRUE,Buckwheat|Corn|Honey,3,Flower & meadow,#e78538,Flower & meadow,#e78538,Flower & meadow,#e78538
Corn,Mushroom,Buckwheat,II,Corn|Mushroom,Buckwheat|Corn,Buckwheat|Mushroom,TRUE,Buckwheat|Corn|Mushroom,3,Flower & meadow,#e78538,Citrussy ; Sour fruity,#f3d45b,Flower & meadow,#e78538
Corn,Tomato,Buckwheat,II,Corn|Tomato,Buckwheat|Corn,Buckwheat|Tomato,TRUE,Buckwheat|Corn|Tomato,3,Flower & meadow,#e78538,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Corn,White Bean,Buckwheat,II,Corn|White Bean,Buckwheat|Corn,Buckwheat|White Bean,TRUE,Buckwheat|Corn|White Bean,3,Flower & meadow,#e78538,Leguminous,#43221c,Flower & meadow,#e78538
Ginger,Raisin,Buckwheat,II,Ginger|Raisin,Buckwheat|Ginger,Buckwheat|Raisin,TRUE,Buckwheat|Ginger|Raisin,3,Creamy Fruity ; Creamy fruity,#f1bac6,Dried fruit,#b3514b,Flower & meadow,#e78538
Ginger,Lemon,Buckwheat,mixed,Ginger|Lemon,Buckwheat|Ginger,Buckwheat|Lemon,TRUE,Buckwheat|Ginger|Lemon,3,Creamy Fruity ; Creamy fruity,#f1bac6,Roasted ; Caramel roasted,#f2748b,Flower & meadow,#e78538
Ginger,Honey,Buckwheat,II,Ginger|Honey,Buckwheat|Ginger,Buckwheat|Honey,TRUE,Buckwheat|Ginger|Honey,3,Creamy Fruity ; Creamy fruity,#f1bac6,Flower & meadow,#e78538,Flower & meadow,#e78538
Ginger,Sesame,Buckwheat,II,Ginger|Sesame,Buckwheat|Ginger,Buckwheat|Sesame,TRUE,Buckwheat|Ginger|Sesame,3,Creamy Fruity ; Creamy fruity,#f1bac6,Nutty milky,#bdcab1,Flower & meadow,#e78538
Ginger,Tomato,Buckwheat,mixed,Ginger|Tomato,Buckwheat|Ginger,Buckwheat|Tomato,TRUE,Buckwheat|Ginger|Tomato,3,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Ginger,Tofu,Buckwheat,II,Ginger|Tofu,Buckwheat|Ginger,Buckwheat|Tofu,TRUE,Buckwheat|Ginger|Tofu,3,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Ginger,Seaweed,Buckwheat,II,Ginger|Seaweed,Buckwheat|Ginger,Buckwheat|Seaweed,TRUE,Buckwheat|Ginger|Seaweed,3,Creamy Fruity ; Creamy fruity,#f1bac6,Dark green,#2f3f33,Flower & meadow,#e78538
Lemon,Raisin,Buckwheat,II,Lemon|Raisin,Buckwheat|Lemon,Buckwheat|Raisin,TRUE,Buckwheat|Lemon|Raisin,3,Roasted ; Caramel roasted,#f2748b,Dried fruit,#b3514b,Flower & meadow,#e78538
Lemon,Potato,Buckwheat,mixed,Lemon|Potato,Buckwheat|Lemon,Buckwheat|Potato,TRUE,Buckwheat|Lemon|Potato,3,Roasted ; Caramel roasted,#f2748b,Sulphurous ; Cruciferous,#f8dc6a,Flower & meadow,#e78538
Lemon,Sorrel,Buckwheat,II,Lemon|Sorrel,Buckwheat|Lemon,Buckwheat|Sorrel,TRUE,Buckwheat|Lemon|Sorrel,3,Roasted ; Caramel roasted,#f2748b,Sour fruity,#f7cf4c,Flower & meadow,#e78538
Lemon,Samphire,Buckwheat,II,Lemon|Samphire,Buckwheat|Lemon,Buckwheat|Samphire,TRUE,Buckwheat|Lemon|Samphire,3,Roasted ; Caramel roasted,#f2748b,Dark green,#2f3f33,Flower & meadow,#e78538
Lemon,Sesame,Buckwheat,II,Lemon|Sesame,Buckwheat|Lemon,Buckwheat|Sesame,TRUE,Buckwheat|Lemon|Sesame,3,Roasted ; Caramel roasted,#f2748b,Nutty milky,#bdcab1,Flower & meadow,#e78538
Lemon,Tomato,Buckwheat,mixed,Lemon|Tomato,Buckwheat|Lemon,Buckwheat|Tomato,TRUE,Buckwheat|Lemon|Tomato,3,Roasted ; Caramel roasted,#f2748b,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Lemon,Seaweed,Buckwheat,II,Lemon|Seaweed,Buckwheat|Lemon,Buckwheat|Seaweed,TRUE,Buckwheat|Lemon|Seaweed,3,Roasted ; Caramel roasted,#f2748b,Dark green,#2f3f33,Flower & meadow,#e78538
Tomato,White Bean,Buckwheat,II,Tomato|White Bean,Buckwheat|Tomato,Buckwheat|White Bean,TRUE,Buckwheat|Tomato|White Bean,3,Sulphurous ; Allium,#f8dc6a,Leguminous,#43221c,Flower & meadow,#e78538
Seaweed,Sesame,Buckwheat,II,Seaweed|Sesame,Buckwheat|Seaweed,Buckwheat|Sesame,TRUE,Buckwheat|Seaweed|Sesame,3,Dark green,#2f3f33,Nutty milky,#bdcab1,Flower & meadow,#e78538
Seaweed,Tofu,Buckwheat,II,Seaweed|Tofu,Buckwheat|Seaweed,Buckwheat|Tofu,TRUE,Buckwheat|Seaweed|Tofu,3,Dark green,#2f3f33,Sulphurous ; Allium,#f8dc6a,Flower & meadow,#e78538
Chilli,Goat's Cheese,Butternut Squash,I,Chilli|Goat's Cheese,Butternut Squash|Chilli,Butternut Squash|Goat's Cheese,TRUE,Butternut Squash|Chilli|Goat's Cheese,3,Green & Grassy ; Light green,#a8b172,Cheesy,#f7e593,Woodland,#807639
Chilli,Pork,Butternut Squash,I,Chilli|Pork,Butternut Squash|Chilli,Butternut Squash|Pork,TRUE,Butternut Squash|Chilli|Pork,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Cruciferous,#f8dc6a,Woodland,#807639
Chilli,Lime,Butternut Squash,I,Chilli|Lime,Butternut Squash|Chilli,Butternut Squash|Lime,TRUE,Butternut Squash|Chilli|Lime,3,Green & Grassy ; Light green,#a8b172,Nutty milky,#bdcab1,Woodland,#807639
Chilli,Shellfish,Butternut Squash,I,Chilli|Shellfish,Butternut Squash|Chilli,Butternut Squash|Shellfish,TRUE,Butternut Squash|Chilli|Shellfish,3,Green & Grassy ; Light green,#a8b172,Marine,#35a8ad,Woodland,#807639
Chilli,Ginger,Butternut Squash,I,Chilli|Ginger,Butternut Squash|Chilli,Butternut Squash|Ginger,TRUE,Butternut Squash|Chilli|Ginger,3,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6,Woodland,#807639
Chestnut,Rosemary,Butternut Squash,I,Chestnut|Rosemary,Butternut Squash|Chestnut,Butternut Squash|Rosemary,TRUE,Butternut Squash|Chestnut|Rosemary,3,Woodland,#807640,Bramble & Hedge,#894343,Woodland,#807639
Chestnut,Mushroom,Butternut Squash,I,Chestnut|Mushroom,Butternut Squash|Chestnut,Butternut Squash|Mushroom,TRUE,Butternut Squash|Chestnut|Mushroom,3,Woodland,#807640,Citrussy ; Sour fruity,#f3d45b,Woodland,#807639
Chestnut,Pork,Butternut Squash,I,Chestnut|Pork,Butternut Squash|Chestnut,Butternut Squash|Pork,TRUE,Butternut Squash|Chestnut|Pork,3,Woodland,#807640,Sulphurous ; Cruciferous,#f8dc6a,Woodland,#807639
Cinnamon,Pork,Butternut Squash,I,Cinnamon|Pork,Butternut Squash|Cinnamon,Butternut Squash|Pork,TRUE,Butternut Squash|Cinnamon|Pork,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Cruciferous,#f8dc6a,Woodland,#807639
Cinnamon,Lime,Butternut Squash,I,Cinnamon|Lime,Butternut Squash|Cinnamon,Butternut Squash|Lime,TRUE,Butternut Squash|Cinnamon|Lime,3,Green & Grassy ; Light green,#a8b172,Nutty milky,#bdcab1,Woodland,#807639
Cinnamon,Ginger,Butternut Squash,I,Cinnamon|Ginger,Butternut Squash|Cinnamon,Butternut Squash|Ginger,TRUE,Butternut Squash|Cinnamon|Ginger,3,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6,Woodland,#807639
Pork,Sage,Butternut Squash,I,Pork|Sage,Butternut Squash|Pork,Butternut Squash|Sage,TRUE,Butternut Squash|Pork|Sage,3,Sulphurous ; Cruciferous,#f8dc6a,Bramble & Hedge,#894344,Woodland,#807639
Pork,Shellfish,Butternut Squash,I,Pork|Shellfish,Butternut Squash|Pork,Butternut Squash|Shellfish,TRUE,Butternut Squash|Pork|Shellfish,3,Sulphurous ; Cruciferous,#f8dc6a,Marine,#35a8ad,Woodland,#807639
Pork,Rosemary,Butternut Squash,I,Pork|Rosemary,Butternut Squash|Pork,Butternut Squash|Rosemary,TRUE,Butternut Squash|Pork|Rosemary,3,Sulphurous ; Cruciferous,#f8dc6a,Bramble & Hedge,#894343,Woodland,#807639
Goat's Cheese,Rosemary,Butternut Squash,I,Goat's Cheese|Rosemary,Butternut Squash|Goat's Cheese,Butternut Squash|Rosemary,TRUE,Butternut Squash|Goat's Cheese|Rosemary,3,Cheesy,#f7e593,Bramble & Hedge,#894343,Woodland,#807639
Goat's Cheese,Mushroom,Butternut Squash,I,Goat's Cheese|Mushroom,Butternut Squash|Goat's Cheese,Butternut Squash|Mushroom,TRUE,Butternut Squash|Goat's Cheese|Mushroom,3,Cheesy,#f7e593,Citrussy ; Sour fruity,#f3d45b,Woodland,#807639
Nutmeg,Shellfish,Butternut Squash,I,Nutmeg|Shellfish,Butternut Squash|Nutmeg,Butternut Squash|Shellfish,TRUE,Butternut Squash|Nutmeg|Shellfish,3,Spicy,#dd5a55,Marine,#35a8ad,Woodland,#807639
Lime,Shellfish,Butternut Squash,I,Lime|Shellfish,Butternut Squash|Lime,Butternut Squash|Shellfish,TRUE,Butternut Squash|Lime|Shellfish,3,Nutty milky,#bdcab1,Marine,#35a8ad,Woodland,#807639
Mushroom,Pork,Butternut Squash,I,Mushroom|Pork,Butternut Squash|Mushroom,Butternut Squash|Pork,TRUE,Butternut Squash|Mushroom|Pork,3,Citrussy ; Sour fruity,#f3d45b,Sulphurous ; Cruciferous,#f8dc6a,Woodland,#807639
Mushroom,Shellfish,Butternut Squash,I,Mushroom|Shellfish,Butternut Squash|Mushroom,Butternut Squash|Shellfish,TRUE,Butternut Squash|Mushroom|Shellfish,3,Citrussy ; Sour fruity,#f3d45b,Marine,#35a8ad,Woodland,#807639
Mushroom,Rosemary,Butternut Squash,I,Mushroom|Rosemary,Butternut Squash|Mushroom,Butternut Squash|Rosemary,TRUE,Butternut Squash|Mushroom|Rosemary,3,Citrussy ; Sour fruity,#f3d45b,Bramble & Hedge,#894343,Woodland,#807639
Ginger,Pork,Butternut Squash,I,Ginger|Pork,Butternut Squash|Ginger,Butternut Squash|Pork,TRUE,Butternut Squash|Ginger|Pork,3,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous ; Cruciferous,#f8dc6a,Woodland,#807639
Ginger,Lime,Butternut Squash,I,Ginger|Lime,Butternut Squash|Ginger,Butternut Squash|Lime,TRUE,Butternut Squash|Ginger|Lime,3,Creamy Fruity ; Creamy fruity,#f1bac6,Nutty milky,#bdcab1,Woodland,#807639
Chilli,Egg,Cabbage,I,Chilli|Egg,Cabbage|Chilli,Cabbage|Egg,TRUE,Cabbage|Chilli|Egg,3,Green & Grassy ; Light green,#a8b172,Spicy ; Spicy woody,#dd5a53,Sulphurous,#f8dc6a
Chilli,Pork,Cabbage,I,Chilli|Pork,Cabbage|Chilli,Cabbage|Pork,TRUE,Cabbage|Chilli|Pork,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Cruciferous,#f8dc6a,Sulphurous,#f8dc6a
Chilli,Potato,Cabbage,I,Chilli|Potato,Cabbage|Chilli,Cabbage|Potato,TRUE,Cabbage|Chilli|Potato,3,Green & Grassy ; Light green,#a8b172,Sulphurous ; Cruciferous,#f8dc6a,Sulphurous,#f8dc6a
Chilli,Shellfish,Cabbage,I,Chilli|Shellfish,Cabbage|Chilli,Cabbage|Shellfish,TRUE,Cabbage|Chilli|Shellfish,3,Green & Grassy ; Light green,#a8b172,Marine,#35a8ad,Sulphurous,#f8dc6a
Chilli,Ginger,Cabbage,I,Chilli|Ginger,Cabbage|Chilli,Cabbage|Ginger,TRUE,Cabbage|Chilli|Ginger,3,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous,#f8dc6a
Chilli,Garlic,Cabbage,I,Chilli|Garlic,Cabbage|Chilli,Cabbage|Garlic,TRUE,Cabbage|Chilli|Garlic,3,Green & Grassy ; Light green,#a8b172,Creamy Fruity ; Creamy fruity,#f1bac6,Sulphurous,#f8dc6a
Potato,Shellfish,Cabbage,I,Potato|Shellfish,Cabbage|Potato,Cabbage|Shellfish,TRUE,Cabbage|Potato|Shellfish,3,Sulphurous ; Cruciferous,#f8dc6a,Marine,#35a8ad,Sulphurous,#f8dc6a
